UUID,TestItem,TestValue
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,-0.5716666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,1.0016666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.627
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.35700000000000004
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,23
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,16
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,0.48666666666666664
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,0.5516666666666666
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.27
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.152
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,15
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,10
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-0.8466666666666666
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,1.6316666666666668
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.287
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.16
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,15
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,11
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-1.28
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,2.316666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.223
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.078
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,13
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,10
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-1.01
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.81
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.267
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.085
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,14
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,9
