SampleID,Trial,Operator,Exposuretime(ms),Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,Angular uniformity,Spatial uniformity,CU_B,CU_G,CU_R,,,,,,,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B167.04.11,1,Zhida,100,Individual dark field and color filter calibration,IQT-HT1,Red,0.000660038,0.002703439,0.005675081,28.33511842,6.408414951,,,,,,,,,,1.645580979,3.416782851,3.370064654,5.302196605,5.249403997,8.908723433
19B167.04.12,1,Zhida,100,Individual dark field and color filter calibration,IQT-HT1,Red,0.000610839,0.002582882,0.005011232,16.51678943,4.923930492,,,,,,,,,,1.51876644,2.871810413,3.451764286,4.727460669,4.706998974,7.986780995
19B167.04.21,1,Zhida,100,Individual dark field and color filter calibration,IQT-HT1,Red,0.000738277,0.002825189,0.004678034,12.91377072,6.240969875,,,,,,,,,,1.682569009,5.106112392,5.181775644,4.679613252,4.40819345,6.609529615
19B167.04.22,1,Zhida,100,Individual dark field and color filter calibration,IQT-HT1,Red,0.000656087,0.002876379,0.004541096,14.40647337,5.06682575,,,,,,,,,,1.885374078,4.018488374,4.543046405,4.079032712,4.156120674,5.793597685
19B167.04.31,1,Zhida,100,Individual dark field and color filter calibration,IQT-HT1,Red,0.000867592,0.003317591,0.005406571,20.30697508,5.52021322,,,,,,,,,,1.576615049,3.857292902,3.239863745,5.983041694,5.774545715,9.152143723
19B167.04.32,1,Zhida,100,Individual dark field and color filter calibration,IQT-HT1,Red,0.000775652,0.00304058,0.004847128,13.58889414,4.473874218,,,,,,,,,,1.896439953,5.729782912,7.127273069,5.307571233,5.62632783,7.387943355
19B251.13.11,1,Zhida,30,Individual dark field calibration,IQT-HT1,Blue,0.005929923,0.008187188,0.000359482,6.445524567,1.743089878,,,,,,,,,,29.42022762,39.75881242,1.001492769,13.58701001,44.31938704,-127.5845229
19B251.13.12,1,Zhida,30,Individual dark field calibration,IQT-HT1,Blue,0.007517447,0.00900496,0.000378339,10.13956454,1.639293058,,,,,,,,,,23.89857376,23.02021498,1.073164153,9.610109818,23.4952701,34.18361849
19B251.13.21,1,Zhida,30,Individual dark field calibration,IQT-HT1,Blue,0.00514966,0.007187536,0.000467812,6.960584107,1.325317395,,,,,,,,,,15.25227792,16.14184487,1.062659235,6.118198476,12.06505526,19.12177847
19B251.13.22,1,Zhida,30,Individual dark field calibration,IQT-HT1,Blue,0.004827515,0.004976752,0.000397214,6.151987331,1.220030529,,,,,,,,,,20.98506067,22.66964899,1.179403064,5.626537219,10.57050361,14.91654841
