SampleID,Date,Trial,Operator,Dicing,Color,TP_Blue,TP_Green,TP_Red,Angular uniformity,Spatial uniformity,CU_Blue,CU_Green,CU_Red,Center contrast_Blue,Center contrast_Green,Center contrast_Red,Mean contrast_Blue,Mean contrast_Green,Mean contrast_Red
19B157.01.11,8-Jan,1,M,Y,Red,0.001410,0.003945,0.004533,654.886699,3.361306,7.805832,4.853386,28.425270,2.870473,4.031114,4.395456,4.106057,4.360892,8.024274
19B157.01.12,8-Jan,1,M,Y,Red,0.001344,0.003928,0.005184,471.452208,3.090254,7.709155,6.364464,26.027984,3.263947,4.191889,4.740865,5.422063,5.470996,8.263037
19B157.01.21,8-Jan,1,M,Y,Red,0.001329,0.003806,0.004541,487.275933,3.757651,6.401794,6.161842,26.563390,3.361812,4.774353,5.579206,4.863094,4.754803,7.518443
19B157.01.22,8-Jan,1,M,Y,Red,0.001210,0.003329,0.004031,217.910278,2.779430,6.372092,6.056341,16.565693,3.304242,4.485976,5.946206,4.455759,4.399394,5.506285
19B157.01.31,8-Jan,1,M,Y,Red,0.001529,0.004550,0.005829,849.837180,2.970598,9.161048,5.890862,33.359111,2.250466,3.138994,2.860473,4.703195,4.586683,9.566039
19B157.01.32,8-Jan,1,M,Y,Red,0.001337,0.003919,0.005221,753.197010,3.342783,7.863735,5.446791,30.130295,2.424335,3.006922,3.827550,4.418509,4.585716,9.042630
19B157.01.11,8-Jan,2,M,Y,Red,0.001388,0.003885,0.004560,599.722342,3.337519,7.932625,4.842577,27.952293,2.832684,3.896074,4.410312,4.002888,4.283426,7.330460
19B157.01.12,8-Jan,2,M,Y,Red,0.001336,0.003899,0.005140,512.425067,3.104768,7.459617,6.295231,26.193223,3.244900,4.210747,4.679503,5.425160,5.486656,8.237257
19B157.01.21,8-Jan,2,M,Y,Red,0.001334,0.003808,0.004504,371.774025,3.719906,6.412091,6.164958,24.874091,3.358471,4.713886,5.615547,4.818693,4.719132,7.346198
19B157.01.22,8-Jan,2,M,Y,Red,0.001244,0.003378,0.003907,213.813294,2.717333,6.631947,5.926609,16.742162,3.210063,4.416827,5.777485,4.476165,4.433541,5.555650
19B157.01.31,8-Jan,2,M,Y,Red,0.001499,0.004465,0.005787,644.049185,2.902654,9.140465,5.866682,30.875880,2.221193,3.055612,2.776603,4.534213,4.470390,9.214691
19B157.01.32,8-Jan,2,M,Y,Red,0.001420,0.004095,0.005068,747.213978,3.323235,7.868795,5.487222,30.959645,2.406789,2.981572,3.745762,4.517247,4.672336,9.213620
19B157.06.11,8-Jan,1,M,Y,Red,0.001575,0.004461,0.005478,1297.142494,3.537750,7.306389,6.265146,30.627385,2.964901,4.277513,3.225230,4.682646,5.156193,11.288449
19B157.06.12,8-Jan,1,M,Y,Red,0.001481,0.004402,0.005412,396.781601,3.807301,8.304356,5.220798,23.155739,3.339745,5.338032,4.831830,5.574897,5.942631,9.143140
19B157.06.21,8-Jan,1,M,Y,Red,0.001548,0.004235,0.004135,194.421937,4.053091,7.724801,4.856454,17.574181,3.495385,5.308574,4.362977,4.320692,4.642910,5.865882
19B157.06.22,8-Jan,1,M,Y,Red,0.001774,0.004549,0.004565,198.835606,2.638386,8.879248,5.097330,17.357893,1.791754,2.345388,4.044009,3.467056,3.796832,5.732727
19B157.06.31,8-Jan,1,M,Y,Red,0.001858,0.005360,0.006261,663.978749,2.615746,9.785668,6.325253,30.712589,2.702554,3.378655,2.566436,5.136364,5.131754,10.063437
19B157.06.32,8-Jan,1,M,Y,Red,0.001603,0.004475,0.005145,1114.670800,4.261605,7.420385,5.364721,35.528329,2.869691,4.510151,3.462768,4.991496,5.321947,11.671553
19B157.06.11,8-Jan,2,M,Y,Red,0.001593,0.004468,0.005361,1197.358540,3.525903,7.444401,6.056865,31.104887,2.813372,4.041163,3.134539,4.572017,5.041519,11.331543
19B157.06.12,8-Jan,2,M,Y,Red,0.001550,0.004507,0.005346,333.273811,3.665757,8.081646,5.199732,23.882600,3.254843,4.937555,4.465208,5.442203,5.760071,8.818692
19B157.06.21,8-Jan,2,M,Y,Red,0.001624,0.004354,0.004013,193.818881,3.973610,8.858901,4.766041,16.554575,3.330978,5.137838,4.204605,4.355943,4.666893,5.827984
19B157.06.22,8-Jan,2,M,Y,Red,0.001850,0.004619,0.004403,199.704510,2.594753,10.669688,5.061857,18.623574,1.774498,2.346285,3.895183,3.591695,3.859499,5.761975
19B157.06.31,8-Jan,2,M,Y,Red,0.001882,0.005393,0.006138,677.250614,2.647483,10.912651,6.136975,30.547813,2.666449,3.401256,2.546636,5.221496,5.186757,10.220811
19B157.06.32,8-Jan,2,M,Y,Red,0.001627,0.004431,0.004883,800.040605,4.047693,7.346468,5.284341,32.253191,2.734839,4.105104,3.301348,4.893337,5.271297,11.107584
19B157.01.11,8-Jan,3,M,Y,Red,0.001439,0.004013,0.004668,593.366460,3.307275,7.178120,4.943932,27.585427,2.770808,3.811667,4.284683,3.961486,4.290963,7.221406
19B157.01.12,8-Jan,3,M,Y,Red,0.001379,0.003999,0.005199,504.063968,3.027859,7.933450,6.376440,26.800196,3.161588,4.126921,4.745090,5.388212,5.426804,8.206253
19B157.01.21,8-Jan,3,M,Y,Red,0.001400,0.003968,0.004545,373.468598,3.564020,6.885223,6.225111,24.602625,3.334363,4.535228,5.706214,4.744360,4.661583,7.158106
19B157.01.22,8-Jan,3,M,Y,Red,0.001251,0.003404,0.003993,214.686088,2.684177,6.864215,6.058435,17.154582,3.217574,4.376337,5.815964,4.414009,4.358923,5.497155
19B157.01.31,8-Jan,3,M,Y,Red,0.001519,0.004520,0.005903,732.172585,2.908724,9.514177,5.941461,30.033037,2.223630,3.048886,2.777426,4.529411,4.477223,9.296429
