SampleID,Trial,Operator,Exposure,Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,AU,SU,CU_B,CU_G,CU_R,dummy1,dummy2,dummy3,dummy4,dummy5,dummy6,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B170.12.31,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.004195568,0.003775256,0.001024246,84.60697412,1.565972611,,,,,,,,,,11.58276792,22.42459586,2.752442966,10.54252507,12.72371415,44.89906979
19B170.12.32,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.00361753,0.003434775,0.000699317,160.593607,1.420120265,,,,,,,,,,12.77574067,21.3092866,6.11547478,13.06548696,16.50041461,80.19523772
19B170.12.11,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.005440532,0.005061251,0.001027524,162.3444526,1.569450248,,,,,,,,,,9.947817914,16.63713219,10.88472591,13.17159045,15.77048364,58.43978479
19B170.12.12,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.002936876,0.002552833,0.000620086,81.579788,1.70211321,,,,,,,,,,12.64224321,26.87796121,-21.54497469,8.753488551,13.09872607,338.3355892
19B170.12.21,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.003178315,0.002676915,0.000616246,88.80463559,1.749258629,,,,,,,,,,9.522456831,17.23416816,560.3875835,7.935042445,11.26434342,247.4354341
19B170.12.22,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.00350346,0.003119605,0.000608356,124.6206006,1.874689517,,,,,,,,,,11.41696487,24.1943704,-87.08145153,10.81767006,15.06975195,551.9950079
19B170.12.31,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.004154749,0.003720393,0.000986698,102.6244618,1.566228593,,,,,,,,,,11.39179342,22.36591868,3.425455692,10.75399735,12.98690837,46.90169756
19B170.12.32,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.003621183,0.003436758,0.000676459,148.7751162,1.441125522,,,,,,,,,,12.45935874,20.91494631,6.945452612,13.21726648,16.66505435,86.8443811
19B170.12.11,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.005437018,0.005062016,0.001029878,189.5449903,1.569550065,,,,,,,,,,10.12393789,16.76810997,13.323518,13.32856661,15.89351071,58.45977133
19B170.12.12,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.002933535,0.002552316,0.00061917,82.32402724,1.703609364,,,,,,,,,,12.6677119,26.62037093,-4.136823021,8.712298805,13.00329876,381.6575935
